Longitude_City1,Latitude_City1,Longitude_City2,Latitude_City2,City1,City2,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num
138.6,-34.9275,153.0281,-27.4678,ADELAIDE,BRISBANE,Jan-84,3781,32,89.8,1622,6132782,6829379,4210,1984,1
138.6,-34.9275,149.1269,-35.2931,ADELAIDE,CANBERRA,Jan-84,1339,12,94.7,972,1301508,1374348,1414,1984,1
138.6,-34.9275,130.8411,-12.4381,ADELAIDE,DARWIN,Jan-84,3050,33,66.8,2619,7987950,11958009,4566,1984,1
138.6,-34.9275,144.9631,-37.8142,ADELAIDE,MELBOURNE,Jan-84,50817,711,66.3,643,32675331,49284059,76647,1984,1
138.6,-34.9275,115.8606,-31.9559,ADELAIDE,PERTH,Jan-84,18670,144,85.1,2120,39580400,46510458,21939,1984,1
138.6,-34.9275,151.21,-33.8678,ADELAIDE,SYDNEY,Jan-84,37401,358,80.8,1167,43646967,54018524,46288,1984,1
153.0281,-27.4678,149.1269,-35.2931,BRISBANE,CANBERRA,Jan-84,593,8,72.7,956,566908,779791,816,1984,1
153.0281,-27.4678,130.8411,-12.4381,BRISBANE,DARWIN,Jan-84,2627,22,80.7,2852,7492204,9284020,3255,1984,1
153.0281,-27.4678,144.9631,-37.8142,BRISBANE,MELBOURNE,Jan-84,31791,324,84.4,1381,43903371,52018212,37667,1984,1
153.0281,-27.4678,115.8606,-31.9559,BRISBANE,PERTH,Jan-84,566,4,88.2,3615,2046090,2319830,642,1984,1
153.0281,-27.4678,151.21,-33.8678,BRISBANE,SYDNEY,Jan-84,95027,990,73.7,753,71555331,97090001,128938,1984,1
149.1269,-35.2931,144.9631,-37.8142,CANBERRA,MELBOURNE,Jan-84,21763,323,60.5,470,10228610,16906793,35972,1984,1
149.1269,-35.2931,151.21,-33.8678,CANBERRA,SYDNEY,Jan-84,32529,562,56.4,236,7676844,13611426,57676,1984,1
130.8411,-12.4381,151.21,-33.8678,DARWIN,SYDNEY,Jan-84,779,9,56.4,3155,2457745,4357704,1381,1984,1
147.325,-42.8806,144.9631,-37.8142,HOBART,MELBOURNE,Jan-84,35293,440,76.1,618,21811074,28661070,46377,1984,1
144.9631,-37.8142,115.8606,-31.9559,MELBOURNE,PERTH,Jan-84,33753,295,82.7,2706,91335618,110442102,40814,1984,1
144.9631,-37.8142,151.21,-33.8678,MELBOURNE,SYDNEY,Jan-84,132682,1368,66.5,706,93673492,140862394,199522,1984,1
115.8606,-31.9559,151.21,-33.8678,PERTH,SYDNEY,Jan-84,22569,163,85,3284,74116596,87195995,26552,1984,1
138.6,-34.9275,153.0281,-27.4678,ADELAIDE,BRISBANE,Feb-84,2302,31,64.2,1622,3733844,5815956,3586,1984,2
138.6,-34.9275,149.1269,-35.2931,ADELAIDE,CANBERRA,Feb-84,1018,12,73.7,972,989496,1342600,1381,1984,2
138.6,-34.9275,130.8411,-12.4381,ADELAIDE,DARWIN,Feb-84,671,8,58.2,2619,1757349,3019500,1153,1984,2
138.6,-34.9275,144.9631,-37.8142,ADELAIDE,MELBOURNE,Feb-84,50605,598,68.7,643,32539015,47363923,73661,1984,2
138.6,-34.9275,115.8606,-31.9559,ADELAIDE,PERTH,Feb-84,14556,121,81.5,2120,30858720,37863460,17860,1984,2
138.6,-34.9275,151.21,-33.8678,ADELAIDE,SYDNEY,Feb-84,29680,298,76.7,1167,34636560,45158488,38696,1984,2
153.0281,-27.4678,149.1269,-35.2931,BRISBANE,CANBERRA,Feb-84,79,2,38.7,956,75524,195152,204,1984,2
153.0281,-27.4678,144.9631,-37.8142,BRISBANE,MELBOURNE,Feb-84,18053,222,71.3,1381,24931193,34966610,25320,1984,2
153.0281,-27.4678,115.8606,-31.9559,BRISBANE,PERTH,Feb-84,332,4,57.6,3615,1200180,2083646,576,1984,2
153.0281,-27.4678,151.21,-33.8678,BRISBANE,SYDNEY,Feb-84,84001,871,70.1,753,63252753,90232173,119830,1984,2
149.1269,-35.2931,144.9631,-37.8142,CANBERRA,MELBOURNE,Feb-84,27564,334,66.9,470,12955080,19364843,41202,1984,2
149.1269,-35.2931,151.21,-33.8678,CANBERRA,SYDNEY,Feb-84,39283,583,61.5,236,9270788,15074452,63875,1984,2
147.325,-42.8806,144.9631,-37.8142,HOBART,MELBOURNE,Feb-84,22441,321,72.7,618,13868538,19076393,30868,1984,2
144.9631,-37.8142,115.8606,-31.9559,MELBOURNE,PERTH,Feb-84,21775,249,77.4,2706,58923150,76128101,28133,1984,2
144.9631,-37.8142,151.21,-33.8678,MELBOURNE,SYDNEY,Feb-84,153549,1311,73.2,706,108405594,148095074,209766,1984,2
115.8606,-31.9559,151.21,-33.8678,PERTH,SYDNEY,Feb-84,13431,114,78.1,3284,44107404,56475549,17197,1984,2
138.6,-34.9275,153.0281,-27.4678,ADELAIDE,BRISBANE,Mar-84,2731,38,62.3,1622,4429682,7110244,4384,1984,3
138.6,-34.9275,149.1269,-35.2931,ADELAIDE,CANBERRA,Mar-84,1218,13,86.3,972,1183896,1371838,1411,1984,3
138.6,-34.9275,130.8411,-12.4381,ADELAIDE,DARWIN,Mar-84,1284,19,53.5,2619,3362796,6285600,2400,1984,3
138.6,-34.9275,144.9631,-37.8142,ADELAIDE,MELBOURNE,Mar-84,56871,677,70.2,643,36568053,52091244,81013,1984,3
138.6,-34.9275,115.8606,-31.9559,ADELAIDE,PERTH,Mar-84,15013,129,80.1,2120,31827560,39734782,18743,1984,3
138.6,-34.9275,151.21,-33.8678,ADELAIDE,SYDNEY,Mar-84,35481,368,75.2,1167,41406327,55061605,47182,1984,3
153.0281,-27.4678,149.1269,-35.2931,BRISBANE,CANBERRA,Mar-84,623,10,52.9,956,595588,1125875,1178,1984,3
153.0281,-27.4678,144.9631,-37.8142,BRISBANE,MELBOURNE,Mar-84,21798,281,69.6,1381,30103038,43251491,31319,1984,3
153.0281,-27.4678,115.8606,-31.9559,BRISBANE,PERTH,Mar-84,467,5,64.9,3615,1688205,2601240,720,1984,3
153.0281,-27.4678,151.21,-33.8678,BRISBANE,SYDNEY,Mar-84,92267,943,71.1,753,69477051,97717371,129771,1984,3
149.1269,-35.2931,144.9631,-37.8142,CANBERRA,MELBOURNE,Mar-84,31024,390,64,470,14581280,22783250,48475,1984,3
149.1269,-35.2931,151.21,-33.8678,CANBERRA,SYDNEY,Mar-84,45423,650,63.8,236,10719828,16802238,71196,1984,3
147.325,-42.8806,144.9631,-37.8142,HOBART,MELBOURNE,Mar-84,23966,379,66.1,618,14810988,22406941,36257,1984,3
144.9631,-37.8142,115.8606,-31.9559,MELBOURNE,PERTH,Mar-84,23104,265,77.8,2706,62519424,80359157,29697,1984,3
144.9631,-37.8142,151.21,-33.8678,MELBOURNE,SYDNEY,Mar-84,166780,1461,72.3,706,117746680,162858479,230678,1984,3
115.8606,-31.9559,151.21,-33.8678,PERTH,SYDNEY,Mar-84,13765,122,76.4,3284,45204260,59167880,18017,1984,3
138.6,-34.9275,153.0281,-27.4678,ADELAIDE,BRISBANE,Apr-84,3198,36,72.8,1622,5187156,7125214,4393,1984,4
138.6,-34.9275,149.1269,-35.2931,ADELAIDE,CANBERRA,Apr-84,1223,14,76.5,972,1188756,1553929,1599,1984,4
138.6,-34.9275,130.8411,-12.4381,ADELAIDE,DARWIN,Apr-84,1186,16,57.8,2619,3106134,5373934,2052,1984,4
138.6,-34.9275,144.9631,-37.8142,ADELAIDE,MELBOURNE,Apr-84,53639,633,71.7,643,34489877,48103036,74810,1984,4
138.6,-34.9275,115.8606,-31.9559,ADELAIDE,PERTH,Apr-84,15758,134,80.9,2120,33406960,41294141,19478,1984,4
138.6,-34.9275,151.21,-33.8678,ADELAIDE,SYDNEY,Apr-84,34894,358,76.4,1167,40721298,53300128,45673,1984,4
153.0281,-27.4678,149.1269,-35.2931,BRISBANE,CANBERRA,Apr-84,396,7,56.3,956,378576,672426,703,1984,4
153.0281,-27.4678,130.8411,-12.4381,BRISBANE,DARWIN,Apr-84,1449,13,77.4,2852,4132548,5339209,1872,1984,4
153.0281,-27.4678,144.9631,-37.8142,BRISBANE,MELBOURNE,Apr-84,27681,292,80.1,1381,38227461,47724670,34558,1984,4
153.0281,-27.4678,115.8606,-31.9559,BRISBANE,PERTH,Apr-84,535,5,74.3,3615,1934025,2602995,720,1984,4
153.0281,-27.4678,151.21,-33.8678,BRISBANE,SYDNEY,Apr-84,101132,943,74.8,753,76152396,101808016,135203,1984,4
149.1269,-35.2931,144.9631,-37.8142,CANBERRA,MELBOURNE,Apr-84,28168,358,66.3,470,13238960,19968265,42486,1984,4
149.1269,-35.2931,151.21,-33.8678,CANBERRA,SYDNEY,Apr-84,39736,575,63.9,236,9377696,14675581,62185,1984,4
130.8411,-12.4381,151.21,-33.8678,DARWIN,SYDNEY,Apr-84,76,1,52.8,3155,239780,454129,144,1984,4
147.325,-42.8806,144.9631,-37.8142,HOBART,MELBOURNE,Apr-84,29858,401,71.8,618,18452244,25699504,41585,1984,4
144.9631,-37.8142,115.8606,-31.9559,MELBOURNE,PERTH,Apr-84,23931,222,79.3,2706,64757286,81661142,30178,1984,4
144.9631,-37.8142,151.21,-33.8678,MELBOURNE,SYDNEY,Apr-84,153105,1355,73.4,706,108092130,147264482,208590,1984,4
115.8606,-31.9559,151.21,-33.8678,PERTH,SYDNEY,Apr-84,14839,128,78.4,3284,48731276,62157240,18927,1984,4
138.6,-34.9275,153.0281,-27.4678,ADELAIDE,BRISBANE,May-84,3378,34,76.6,1622,5479116,7152893,4410,1984,5
138.6,-34.9275,149.1269,-35.2931,ADELAIDE,CANBERRA,May-84,1347,13,86.5,972,1309284,1513623,1557,1984,5
138.6,-34.9275,130.8411,-12.4381,ADELAIDE,DARWIN,May-84,2790,32,66.6,2619,7307010,10971486,4189,1984,5
138.6,-34.9275,144.9631,-37.8142,ADELAIDE,MELBOURNE,May-84,60701,714,71.6,643,39030743,54512211,84778,1984,5
138.6,-34.9275,115.8606,-31.9559,ADELAIDE,PERTH,May-84,16186,140,79.4,2120,34314320,43217028,20385,1984,5
138.6,-34.9275,151.21,-33.8678,ADELAIDE,SYDNEY,May-84,39198,380,79.1,1167,45744066,57830678,49555,1984,5
153.0281,-27.4678,149.1269,-35.2931,BRISBANE,CANBERRA,May-84,462,8,56.6,956,441672,780339,816,1984,5
153.0281,-27.4678,130.8411,-12.4381,BRISBANE,DARWIN,May-84,681,6,78.8,2852,1942212,2464736,864,1984,5
153.0281,-27.4678,144.9631,-37.8142,BRISBANE,MELBOURNE,May-84,30108,345,73.8,1381,41579148,56340309,40797,1984,5
153.0281,-27.4678,115.8606,-31.9559,BRISBANE,PERTH,May-84,438,4,76,3615,1583370,2083382,576,1984,5
153.0281,-27.4678,151.21,-33.8678,BRISBANE,SYDNEY,May-84,99508,1010,70.3,753,74929524,106585383,141548,1984,5
149.1269,-35.2931,144.9631,-37.8142,CANBERRA,MELBOURNE,May-84,33300,406,65.1,470,15651000,24041475,51152,1984,5
149.1269,-35.2931,151.21,-33.8678,CANBERRA,SYDNEY,May-84,47779,648,66.3,236,11275844,17007306,72065,1984,5
147.325,-42.8806,144.9631,-37.8142,HOBART,MELBOURNE,May-84,24970,385,69.1,618,15431460,22332069,36136,1984,5
144.9631,-37.8142,115.8606,-31.9559,MELBOURNE,PERTH,May-84,26253,259,76.9,2706,71040618,92380518,34139,1984,5
144.9631,-37.8142,151.21,-33.8678,MELBOURNE,SYDNEY,May-84,170378,1494,74.2,706,120286868,162111682,229620,1984,5
115.8606,-31.9559,151.21,-33.8678,PERTH,SYDNEY,May-84,17088,150,77.5,3284,56116992,72409022,22049,1984,5
138.6,-34.9275,153.0281,-27.4678,ADELAIDE,BRISBANE,Jun-84,2820,38,60.8,1622,4574040,7523092,4638,1984,6
138.6,-34.9275,149.1269,-35.2931,ADELAIDE,CANBERRA,Jun-84,798,10,77.3,972,775656,1003436,1032,1984,6
138.6,-34.9275,130.8411,-12.4381,ADELAIDE,DARWIN,Jun-84,2952,27,84.1,2619,7731288,9192970,3510,1984,6
138.6,-34.9275,144.9631,-37.8142,ADELAIDE,MELBOURNE,Jun-84,51771,648,68.6,643,33288753,48525879,75468,1984,6
138.6,-34.9275,115.8606,-31.9559,ADELAIDE,PERTH,Jun-84,14465,126,79.7,2120,30665800,38476537,18149,1984,6
138.6,-34.9275,151.21,-33.8678,ADELAIDE,SYDNEY,Jun-84,31115,317,76.4,1167,36311205,47527755,40726,1984,6
153.0281,-27.4678,149.1269,-35.2931,BRISBANE,CANBERRA,Jun-84,281,7,37.2,956,268636,722140,755,1984,6
153.0281,-27.4678,130.8411,-12.4381,BRISBANE,DARWIN,Jun-84,2103,15,86.6,2852,5997756,6925815,2428,1984,6
153.0281,-27.4678,144.9631,-37.8142,BRISBANE,MELBOURNE,Jun-84,23504,261,77.9,1381,32459024,41667553,30172,1984,6
153.0281,-27.4678,115.8606,-31.9559,BRISBANE,PERTH,Jun-84,393,5,54.6,3615,1420695,2602005,720,1984,6
153.0281,-27.4678,151.21,-33.8678,BRISBANE,SYDNEY,Jun-84,94242,931,73.4,753,70964226,96681507,128395,1984,6
149.1269,-35.2931,144.9631,-37.8142,CANBERRA,MELBOURNE,Jun-84,27452,380,58.2,470,12902440,22169141,47168,1984,6
149.1269,-35.2931,151.21,-33.8678,CANBERRA,SYDNEY,Jun-84,39785,577,62.1,236,9389260,15119581,64066,1984,6
147.325,-42.8806,144.9631,-37.8142,HOBART,MELBOURNE,Jun-84,21078,322,67.8,618,13026204,19212690,31088,1984,6
144.9631,-37.8142,115.8606,-31.9559,MELBOURNE,PERTH,Jun-84,17852,194,75.7,2706,48307512,63814415,23583,1984,6
144.9631,-37.8142,151.21,-33.8678,MELBOURNE,SYDNEY,Jun-84,151317,1353,71.6,706,106829802,149203634,211337,1984,6
115.8606,-31.9559,151.21,-33.8678,PERTH,SYDNEY,Jun-84,10932,100,75.9,3284,35900688,47299984,14403,1984,6
138.6,-34.9275,153.0281,-27.4678,ADELAIDE,BRISBANE,Jul-84,3183,40,65.2,1622,5162826,7918445,4882,1984,7
138.6,-34.9275,149.1269,-35.2931,ADELAIDE,CANBERRA,Jul-84,1211,14,77.3,972,1177092,1522758,1567,1984,7
138.6,-34.9275,130.8411,-12.4381,ADELAIDE,DARWIN,Jul-84,4174,38,86.5,2619,10931706,12637810,4825,1984,7
138.6,-34.9275,144.9631,-37.8142,ADELAIDE,MELBOURNE,Jul-84,52341,671,69.3,643,33655263,48564593,75528,1984,7
138.6,-34.9275,115.8606,-31.9559,ADELAIDE,PERTH,Jul-84,14368,133,74.5,2120,30460160,40886121,19286,1984,7
138.6,-34.9275,151.21,-33.8678,ADELAIDE,SYDNEY,Jul-84,34393,354,77.2,1167,40136631,51990455,44551,1984,7
153.0281,-27.4678,149.1269,-35.2931,BRISBANE,CANBERRA,Jul-84,230,6,37.6,956,219880,584787,612,1984,7
153.0281,-27.4678,130.8411,-12.4381,BRISBANE,DARWIN,Jul-84,2878,25,75.6,2852,8208056,10857217,3807,1984,7
153.0281,-27.4678,144.9631,-37.8142,BRISBANE,MELBOURNE,Jul-84,27400,300,77.9,1381,37839400,48574326,35173,1984,7
153.0281,-27.4678,115.8606,-31.9559,BRISBANE,PERTH,Jul-84,377,4,65.5,3615,1362855,2080695,576,1984,7
153.0281,-27.4678,151.21,-33.8678,BRISBANE,SYDNEY,Jul-84,101858,1007,72.9,753,76699074,105211350,139723,1984,7
149.1269,-35.2931,144.9631,-37.8142,CANBERRA,MELBOURNE,Jul-84,30037,388,63,470,14117390,22408556,47678,1984,7
149.1269,-35.2931,151.21,-33.8678,CANBERRA,SYDNEY,Jul-84,45105,618,65.7,236,10644780,16202100,68653,1984,7
130.8411,-12.4381,151.21,-33.8678,DARWIN,SYDNEY,Jul-84,73,1,71.6,3155,230315,321669,102,1984,7
147.325,-42.8806,144.9631,-37.8142,HOBART,MELBOURNE,Jul-84,19511,312,67.2,618,12057798,17943152,29034,1984,7
144.9631,-37.8142,115.8606,-31.9559,MELBOURNE,PERTH,Jul-84,20940,227,73.9,2706,56663640,76676103,28336,1984,7
144.9631,-37.8142,151.21,-33.8678,MELBOURNE,SYDNEY,Jul-84,158759,1436,70.1,706,112083854,159891375,226475,1984,7
115.8606,-31.9559,151.21,-33.8678,PERTH,SYDNEY,Jul-84,11721,109,74.4,3284,38491764,51736242,15754,1984,7
138.6,-34.9275,153.0281,-27.4678,ADELAIDE,BRISBANE,Aug-84,3662,39,75.6,1622,5939764,7856831,4844,1984,8
138.6,-34.9275,149.1269,-35.2931,ADELAIDE,CANBERRA,Aug-84,1240,13,87.8,972,1205280,1372756,1412,1984,8
138.6,-34.9275,130.8411,-12.4381,ADELAIDE,DARWIN,Aug-84,3535,36,74.2,2619,9258165,12477311,4764,1984,8
138.6,-34.9275,144.9631,-37.8142,ADELAIDE,MELBOURNE,Aug-84,62490,719,75.3,643,40181070,53361315,82988,1984,8
138.6,-34.9275,115.8606,-31.9559,ADELAIDE,PERTH,Aug-84,16601,145,77.7,2120,35194120,45294878,21366,1984,8
138.6,-34.9275,151.21,-33.8678,ADELAIDE,SYDNEY,Aug-84,38870,377,79.9,1167,45361290,56772578,48648,1984,8
153.0281,-27.4678,149.1269,-35.2931,BRISBANE,CANBERRA,Aug-84,359,6,54.9,956,343204,625144,654,1984,8
153.0281,-27.4678,130.8411,-12.4381,BRISBANE,DARWIN,Aug-84,2851,24,76,2852,8131052,10698753,3751,1984,8
153.0281,-27.4678,144.9631,-37.8142,BRISBANE,MELBOURNE,Aug-84,40046,384,81.4,1381,55303526,67940450,49197,1984,8
153.0281,-27.4678,115.8606,-31.9559,BRISBANE,PERTH,Aug-84,443,4,76.9,3615,1601445,2082503,576,1984,8
153.0281,-27.4678,151.21,-33.8678,BRISBANE,SYDNEY,Aug-84,106408,1028,75.9,753,80125224,105566830,140195,1984,8
149.1269,-35.2931,144.9631,-37.8142,CANBERRA,MELBOURNE,Aug-84,30166,407,60.6,470,14178020,23396073,49779,1984,8
149.1269,-35.2931,151.21,-33.8678,CANBERRA,SYDNEY,Aug-84,46224,637,66.2,236,10908864,16478647,69825,1984,8
130.8411,-12.4381,151.21,-33.8678,DARWIN,SYDNEY,Aug-84,161,1,76.3,3155,507955,665734,211,1984,8
147.325,-42.8806,144.9631,-37.8142,HOBART,MELBOURNE,Aug-84,23231,331,70.9,618,14356758,20249306,32766,1984,8
144.9631,-37.8142,115.8606,-31.9559,MELBOURNE,PERTH,Aug-84,24727,252,75.8,2706,66911262,88273433,32621,1984,8
144.9631,-37.8142,151.21,-33.8678,MELBOURNE,SYDNEY,Aug-84,173440,1492,73.1,706,122448640,167508399,237264,1984,8
115.8606,-31.9559,151.21,-33.8678,PERTH,SYDNEY,Aug-84,15350,133,77.9,3284,50409400,64710398,19705,1984,8
138.6,-34.9275,153.0281,-27.4678,ADELAIDE,BRISBANE,Sep-84,3897,39,74.3,1622,6320934,8507314,5245,1984,9
138.6,-34.9275,149.1269,-35.2931,ADELAIDE,CANBERRA,Sep-84,1258,12,89.6,972,1222776,1364705,1404,1984,9
138.6,-34.9275,130.8411,-12.4381,ADELAIDE,DARWIN,Sep-84,2260,25,69.2,2619,5918940,8553382,3266,1984,9
138.6,-34.9275,144.9631,-37.8142,ADELAIDE,MELBOURNE,Sep-84,56406,657,71.1,643,36269058,51011333,79333,1984,9
138.6,-34.9275,115.8606,-31.9559,ADELAIDE,PERTH,Sep-84,16602,136,83.1,2120,35196240,42354079,19978,1984,9
138.6,-34.9275,151.21,-33.8678,ADELAIDE,SYDNEY,Sep-84,37840,378,78.5,1167,44159280,56253860,48204,1984,9
153.0281,-27.4678,149.1269,-35.2931,BRISBANE,CANBERRA,Sep-84,432,8,53.6,956,412992,770507,806,1984,9
153.0281,-27.4678,130.8411,-12.4381,BRISBANE,DARWIN,Sep-84,1556,12,83.6,2852,4437712,5308268,1861,1984,9
153.0281,-27.4678,144.9631,-37.8142,BRISBANE,MELBOURNE,Sep-84,35555,361,82.2,1381,49101455,59734130,43254,1984,9
153.0281,-27.4678,115.8606,-31.9559,BRISBANE,PERTH,Sep-84,462,5,64.2,3615,1670130,2601449,720,1984,9
153.0281,-27.4678,151.21,-33.8678,BRISBANE,SYDNEY,Sep-84,103091,1001,74.5,753,77627523,104198017,138377,1984,9
149.1269,-35.2931,144.9631,-37.8142,CANBERRA,MELBOURNE,Sep-84,29011,381,62.5,470,13635170,21816272,46418,1984,9
149.1269,-35.2931,151.21,-33.8678,CANBERRA,SYDNEY,Sep-84,44942,606,65.3,236,10606312,16242438,68824,1984,9
147.325,-42.8806,144.9631,-37.8142,HOBART,MELBOURNE,Sep-84,28330,387,69.3,618,17507940,25263983,40880,1984,9
144.9631,-37.8142,115.8606,-31.9559,MELBOURNE,PERTH,Sep-84,30735,277,75.7,2706,83168910,109866460,40601,1984,9
144.9631,-37.8142,151.21,-33.8678,MELBOURNE,SYDNEY,Sep-84,160397,1430,71.9,706,113240282,157496915,223083,1984,9
115.8606,-31.9559,151.21,-33.8678,PERTH,SYDNEY,Sep-84,16611,132,84.4,3284,54550524,64633322,19681,1984,9
138.6,-34.9275,153.0281,-27.4678,ADELAIDE,BRISBANE,Oct-84,3192,39,69.8,1622,5177424,7417513,4573,1984,10
138.6,-34.9275,149.1269,-35.2931,ADELAIDE,CANBERRA,Oct-84,1285,14,87.9,972,1249020,1420956,1462,1984,10
138.6,-34.9275,130.8411,-12.4381,ADELAIDE,DARWIN,Oct-84,1491,17,65.4,2619,3904929,5970839,2280,1984,10
